segregant,Replicate_1,Replicate_2
LK1-G09,D3,A3
LK1-B04,F4,F5
LK3-D09,A9,F10
LK5-B01,A11,H11
LK4-B01,C5,E1
LK2-A12,F3,B6
LK2-D07,A2,H5
LK6-A05,G1,H4
LK1-G11,H1,H3
LK1-F05,A5,C6
LK2-B04,C12,F11
LK1-A05,H6,B5
